participantNo,inputType,trialNo,inputTime,prepTime,msg,orgMsg,msgLen,wpm,incorrect_fixed,fixes,taskType,setNum,totalTime,entryTime,corrTime,acCount,inf,correct,uncorrected_error_rate,corrected_error_rate,bandwidth
5,Speech,9,2725,3101,The person makes a soccer ball shaped cake in the house,"The person makes a soccer ball shaped cake in the house
",55,237.79816513761466,0,0,Transcription,D1,7639,4538,0,0,0,55,0.0,0.0,1.0
5,Speech,10,11823,4143,The man cycled all the way to meet Santa,"The man cycled all the way to meet Santa
",40,39.58386196396854,12,8,Transcription,D2,17861,13718,4731,0,0,40,0.0,0.25,0.6666666666666666
5,Speech,11,24485,3821,Tell me went on a sail cruise and met a little kitty cat,"Tell me went on a sail cruise and met a little kitty cat
",56,26.955278742086996,74,17,Transcription,D1,32944,29123,17253,0,0,56,0.0,1.0136986301369864,0.38095238095238093
5,Speech,12,3375,4338,Joe saw someone using a Santa Claus costume while biking,"Joe saw someone using a Santa Claus costume while biking
",56,195.55555555555557,0,0,Transcription,D1,9369,5032,0,0,0,56,0.0,0.0,1.0
5,Speech,13,3343,3718,The baby stays in the house so that he is not sunburned,"The baby stays in the house so that he's not sunburned
",55,193.8378701764882,0,0,Transcription,D1,11975,8258,0,0,2,52,0.037037037037037035,0.0,0.9629629629629629
5,Speech,14,3996,3221,The boy stop crying when he saw Santa and it was shown by his dad,"The boy stopped crying when he saw Santa and it was shown by his dad
",65,192.19219219219224,46,2,Transcription,D2,10054,6833,1173,0,3,65,0.04285714285714286,0.6571428571428571,0.5603448275862069
5,Speech,15,6367,3276,The three friends had coffee in the purple house,"The three friends had coffee in the purple house
",48,88.58174964661536,4,4,Transcription,D2,10492,7216,2810,0,0,48,0.0,0.07692307692307693,0.8571428571428571
5,Speech,16,1021,3832,Doctors have apples at home,"Doctors have apples at home
",27,305.5827619980412,0,0,Transcription,D2,5680,1848,0,0,0,27,0.0,0.0,1.0
5,Speech,17,7535,3383,The girl felt it was unfair to pay to use the swing,"The girl felt it was unfair to pay to use the swing
",51,79.62840079628401,7,3,Transcription,D2,11866,8483,3289,0,0,51,0.0,0.12962962962962962,0.8360655737704918
5,Speech,18,7053,4237,The boy noticed that there was a cat in the boat,"The boy noticed that there was a cat in the boat
",48,79.96597192683964,48,8,Transcription,D2,13259,9022,2243,0,0,48,0.0,0.8571428571428571,0.46153846153846156
5,Speech,19,2062,4073,The rain prevented the boy from using the swing,"The rain prevented the boy from using the swing
",47,267.7012609117362,0,0,Transcription,D2,7100,3027,0,0,0,47,0.0,0.0,1.0
5,Speech,20,5570,695,The woman thinks that hot dogs taste better than broccoli,"The woman thinks that hot dogs taste better than broccoli
",57,120.6463195691203,0,0,Transcription,D1,7942,7247,0,0,0,57,0.0,0.0,1.0
11,Speech,1,2634,3644,A teddy bear cost too much money for the teenagers to buy,"A teddy bear cost too much money for the teenagers to buy
",57,255.12528473804105,0,0,Transcription,D1,7783,4139,0,0,0,57,0.0,0.0,1.0
11,Speech,2,10826,3188,Joe bought a Santa Claus costume to calm his son,"Joe bought a Santa Claus costume to calm his son
",48,52.0968039903935,43,3,Transcription,D2,14353,11165,7177,0,0,48,0.0,0.8431372549019608,0.5106382978723404
11,Speech,3,39239,2945,Joe had finished a miniature boat but the cat scratched it all over,"Joe had finished a miniature boat but the cat scratched it all over
",67,20.184000611636385,167,7,Transcription,D2,43438,40493,19844,0,0,67,0.0,2.2567567567567566,0.27800829875518673
11,Speech,4,7640,5057,Joe found a green apple in the roof while cleaning house,"Joe found a green apple in the roof while cleaning the house
",56,86.38743455497382,6,1,Transcription,D2,13491,8434,4977,0,4,56,0.06557377049180328,0.09836065573770492,0.835820895522388
11,Speech,5,13718,3388,James found a ball in the kitchen while cooking dinner,"James found a ball in the kitchen while cooking dinner
",54,46.3624435048841,58,6,Transcription,D2,17398,14010,8932,0,0,54,0.0,0.9666666666666667,0.4576271186440678
11,Speech,6,1816,3447,Jane forgot her wallet in the park while taking a walk,"Jane forgot her wallet on the park while taking a walk
",54,350.22026431718064,0,0,Transcription,D2,7459,4012,0,0,1,53,0.018518518518518517,0.0,0.9814814814814815
11,Speech,7,7984,3353,The woman found money on the ground next to the swing set,"The woman found money on the ground next to the swing set
",57,84.1683366733467,9,2,Transcription,D1,13080,9727,2809,0,0,57,0.0,0.15254237288135594,0.8382352941176471
11,Speech,8,2057,4212,The doctor on the airplane gave the little boy lollipop,"The doctor on the airplane gave the little boy a lolly pop
",55,315.0218765192028,0,0,Transcription,D1,7555,3343,0,0,4,51,0.07272727272727272,0.0,0.9272727272727272
11,Speech,9,17614,3205,The woman thinks that hot dogs taste better than broccoli,"The woman thinks that hot dogs taste better than broccoli
",57,38.151470421255816,60,8,Transcription,D1,22020,18815,12840,0,0,57,0.0,0.9230769230769231,0.456
11,Speech,10,29825,4152,Tell me went on a sail cruise and met a little kitty cat,"Tell me went on a sail cruise and met a little kitty cat
",56,22.129086336965635,84,11,Transcription,D1,34342,30190,18966,0,0,56,0.0,1.2537313432835822,0.3708609271523179
11,Speech,11,17966,3738,Do the rain the park was closed,"Due to the rain the park was closed
",31,20.03784927084493,47,33,Transcription,D2,22133,18395,8395,0,4,31,0.058823529411764705,0.6911764705882353,0.26956521739130435
11,Speech,12,5027,3121,The family invested all their money in a toys company,"The family invested all their money in a toys company
",53,124.12969962204097,2,1,Transcription,D2,8503,5382,2514,0,0,53,0.0,0.037037037037037035,0.9464285714285714
11,Speech,13,32378,1014,The baby stays in the house so that he's not sunburned,"The baby stays in the house so that he's not sunburned
",54,19.642967447031936,78,19,Transcription,D1,33778,32764,19385,0,0,54,0.0,1.0684931506849316,0.3576158940397351
11,Speech,14,3833,2786,The person makes a soccer ball shaped cake in the house,"The person makes a soccer ball shaped cake in the house
",55,169.05817897208453,53,1,Transcription,D1,8477,5691,928,0,0,55,0.0,0.9464285714285714,0.5045871559633027
11,Speech,15,18021,3344,The Siblings bought new coffee cups for their house,"The siblings bought new coffee cups for their house
",51,33.2944897619444,30,6,Transcription,D2,21769,18425,7339,0,1,50,0.017543859649122806,0.5263157894736842,0.5747126436781609
11,Speech,16,5768,3102,Joe find the flower in his pocket while taking arrest,"Joe found the flower in his pocket while taking a rest
",53,108.18307905686545,5,1,Transcription,D2,9581,6479,2758,0,3,51,0.05454545454545454,0.09090909090909091,0.85
11,Speech,17,10119,3064,Joe saw someone using a Santa Claus costume while biking,"Joe saw someone using a Santa Claus costume while biking
",56,65.22383634746517,55,3,Transcription,D1,14289,11225,7636,0,0,56,0.0,0.9322033898305084,0.49122807017543857
11,Speech,18,10468,3512,The man wants turn between his love and his love for sucker,"The man was torn between his love and his love for soccer
",59,66.4883454337027,11,4,Transcription,D1,14296,10785,5255,0,5,52,0.08196721311475409,0.18032786885245902,0.7222222222222222
11,Speech,19,7514,3865,The mother could not afford to take her baby to the park,"The mother could not afford to take her baby to the park
",56,87.83603939313282,8,2,Transcription,D1,11752,7887,3766,0,0,56,0.0,0.13793103448275862,0.8484848484848485
11,Speech,20,4984,1863,My Granny fell in love after she saw a teddy bear in store,"My granny fell in love after she saw a teddy bear in store
",58,137.23916532905298,0,0,Transcription,D2,9635,7772,0,0,1,57,0.017241379310344827,0.0,0.9827586206896551
11,Keyboard,1,16700,775,The teenagers gave a gift to their little brother Bobby,"The teenagers gave a gift to their little brother Bobby
",55,38.802395209580844,6,3,Transcription,C1,18136,17361,1359,6,0,55,0.0,0.10344827586206896,0.859375
11,Keyboard,2,14251,568,"Sally puts broccoli on her hotdog, she loves vegetables","Sally puts broccoli on her hotdog, she loves vegetables
",55,45.47049329871589,19,5,Transcription,C1,15402,14834,2446,4,0,55,0.0,0.31666666666666665,0.6962025316455697
11,Keyboard,1,8669,2894,Jane is craving a hot dog with broccoli,"Jane is craving a hot dog with broccoli
",39,52.60122274772178,1,1,Transcription,C2,12317,9423,488,2,0,39,0.0,0.025,0.9512195121951219
11,Keyboard,2,10400,784,The teacher and her little daughters entered the airplane,"The teacher and her little daughters entered the airplane
",57,64.61538461538461,0,0,Transcription,C1,11595,10811,0,4,0,57,0.0,0.0,1.0
11,Keyboard,3,14312,2201,Joe was seated in the park starring at the flower,"Joe was seated in the park staring at the flowers
",49,40.245947456679716,3,2,Transcription,C2,16984,14783,851,5,2,47,0.0392156862745098,0.058823529411764705,0.8703703703703703
11,Keyboard,4,14886,1511,The girl was confused when she saw a dog and a crying boy,"The girl was confused when she saw a dog and a crying boy
",57,45.14308746473196,5,2,Transcription,C1,16948,15437,1519,5,0,57,0.0,0.0847457627118644,0.890625
11,Keyboard,5,15382,527,"Sally puts broccoli on her hotdog, she loves vegetables","Sally puts broccoli on her hotdog, she loves vegetables
",55,42.127161617474975,6,3,Transcription,C1,16479,15952,1822,7,0,55,0.0,0.10344827586206896,0.859375
11,Keyboard,6,14277,2275,Jane bought an entire park with her savings,"Jane bought an entire park with her savings
",43,35.30153393570078,5,5,Transcription,C2,17750,15475,1324,4,0,43,0.0,0.10416666666666667,0.8113207547169812
11,Keyboard,7,26019,1030,All the siblings start their daily routine with a cup of coffee,"All the siblings start their daily routines with a cup of coffee
",63,28.594488642914797,14,8,Transcription,C2,27397,26367,10528,6,1,63,0.013888888888888888,0.19444444444444445,0.7325581395348837
11,Keyboard,8,15392,806,Joe is capturing his grandson smile with his new phone,"Joe is capturing his grandson smile with his new phone
",54,41.32016632016632,5,3,Transcription,C2,16675,15870,1085,4,0,54,0.0,0.08771929824561403,0.8709677419354839
11,Keyboard,9,29043,633,The dog hypnotizes the girl into thinking the boy is sad,"The dog hypnotizes the girl into thinking the boy is sad
",56,22.72492511104225,16,15,Transcription,C1,30457,29824,7029,5,0,56,0.0,0.22535211267605634,0.6436781609195402
11,Keyboard,10,19435,793,The boy placed his cat in the miniature boat to take a picture,"The boy placed his cat in the miniature boat to take a picture
",62,37.66400823257011,9,5,Transcription,C2,20819,20026,1100,3,0,62,0.0,0.13432835820895522,0.8157894736842105
11,Keyboard,11,20769,546,The teenagers gave a gift to their little brother Bobby,"The teenagers gave a gift to their little brother Bobby
",55,31.200346670518567,14,12,Transcription,C1,22165,21619,3575,4,0,55,0.0,0.208955223880597,0.6790123456790124
11,Keyboard,12,16248,2853,Jane wished farewell to her nieces as they boarded the flight,"Jane wished farewell to her nieces as they boarded the flight
",61,44.31314623338257,6,2,Transcription,C2,19851,16998,783,3,0,61,0.0,0.09523809523809523,0.8840579710144928
11,Keyboard,13,12737,2431,The baby loves being in the house when the sun is shining,"The baby loves being in the house when the sun is shining
",57,52.759676532935536,4,2,Transcription,C1,15746,13315,1201,7,0,57,0.0,0.06779661016949153,0.9047619047619048
11,Keyboard,14,27122,1522,The teenagers went to Bruce's house to drink a cup of tea,"The teenagers went to Bruce's house to drink a cup of tea
",57,24.776933854435516,18,14,Transcription,C1,29240,27718,6246,2,0,57,0.0,0.2535211267605634,0.6404494382022472
11,Keyboard,15,13376,939,The child cried because a man told him Santa wasn't real,"The child cried because a man told him Santa wasn't real
",56,49.342105263157904,0,0,Transcription,C1,14855,13916,0,2,0,56,0.0,0.0,1.0
11,Keyboard,16,18442,3156,The sunlight enters daily thought the window and makes the baby happy,"The sunlight enters daily through the window and makes the baby happy
",69,44.246827892853275,9,4,Transcription,C2,21879,18723,2151,4,2,67,0.0273972602739726,0.1232876712328767,0.8170731707317073
11,Keyboard,17,11968,1070,The doctor boarded an international flight to visit the boy,"The doctor boarded an international flight to visit the boy
",59,58.15508021390375,2,2,Transcription,C2,13464,12395,859,8,0,59,0.0,0.03278688524590164,0.9365079365079365
11,Keyboard,18,17338,1124,The siblings spent all their money on a giant teddy bear,"The siblings spent all their money on a giant teddy bear
",56,38.06667435690391,8,6,Transcription,C1,18665,17542,3996,8,0,56,0.0,0.12903225806451613,0.8
11,Keyboard,19,14519,247,A group of friends won a teddy bear in an amusement park,"A group of friends won a teddy bear in an amusement park
",56,45.457676148495075,1,1,Transcription,C1,15358,15111,566,9,0,56,0.0,0.017543859649122806,0.9655172413793104
11,Keyboard,20,23103,760,While cooking Jane heard the sound of a ball bouncing on the hall,"While cooking Jane heard the sound of a ball bouncing on the hall
",65,33.24243604726659,11,4,Transcription,C2,24267,23507,4789,7,0,65,0.0,0.15942028985507245,0.8125
6,Keyboard,1,10025,827,The person make a soccer ball shaped cake in the house ,"The person makes a soccer ball shaped cake in the house
",55,64.63840399002494,0,0,Transcription,D1,11501,10674,0,0,1,54,0.01818181818181818,0.0,0.9818181818181818
6,Keyboard,2,10559,713,The man was torn between his love and his love for soccer ,"The man was torn between his love and his love for soccer
",58,64.77886163462449,1,1,Transcription,D1,11820,11107,356,0,0,57,0.0,0.017241379310344827,0.9661016949152542
6,Keyboard,3,12533,1073,The doctor on the airplane gave the little boy a lolly pop,"The doctor on the airplane gave the little boy a lolly pop
",58,54.575919572329056,1,1,Transcription,D1,14331,13258,373,0,0,58,0.0,0.01694915254237288,0.9666666666666667
6,Keyboard,4,8462,991,The boy set sail on the ship with his cat,"The boy set sail on the ship with his cat
",41,56.72417868116285,3,1,Transcription,D2,10044,9053,703,1,0,41,0.0,0.07142857142857142,0.9111111111111111
6,Keyboard,5,12409,837,Joe saw someone using a Santa Claus costume while biking ,"Joe saw someone using a Santa Claus costume while biking
",57,54.154242888226285,0,0,Transcription,D1,14040,13203,0,1,0,56,0.0,0.0,1.0
6,Keyboard,6,21771,804,The parents sought the doctor's advice about whether they could take their child aboard the plane,"The parents sought the doctor's advice about whether they could take their child aboard the plane
",97,52.914427449359245,11,6,Transcription,D2,23239,22435,2266,4,0,97,0.0,0.10679611650485436,0.8508771929824561
6,Keyboard,7,15974,645,The three children came back home from school and enjoyed a bit of hot coffee,"The three children came back home from school and enjoyed a bit of hot coffee
",77,57.092775760610984,5,5,Transcription,D2,16975,16330,1190,2,0,77,0.0,0.06097560975609756,0.8850574712643678
6,Keyboard,8,14565,693,The baby stays in the house so that he's not sunburned,"The baby stays in the house so that he's not sunburned
",54,43.66632337796087,15,10,Transcription,D1,15933,15240,3586,3,0,54,0.0,0.234375,0.6835443037974683
6,Keyboard,9,16090,360,The woman waved goodbye to her friend Sally and her baby at the airport,"The woman waved goodbye to her friend Sally and her baby at the airport
",71,52.20633934120572,7,7,Transcription,D2,16979,16620,2109,2,0,71,0.0,0.08974358974358974,0.8352941176470589
6,Keyboard,10,8359,755,The man wanted to feed his little turtle,"The man wanted to feed his little turtle
",40,55.98755832037325,5,1,Transcription,D2,9401,8646,553,1,0,40,0.0,0.12195121951219512,0.8695652173913043
6,Keyboard,11,10807,1746,The mother could not afford to take her baby to the park,"The mother could not afford to take her baby to the park
",56,61.07152771351902,0,0,Transcription,D1,13235,11489,0,0,0,56,0.0,0.0,1.0
6,Keyboard,12,11527,481,A teddy bear cost too much money for the teenagers to buy,"A teddy bear cost too much money for the teenagers to buy
",57,58.29790925652816,0,0,Transcription,D1,12667,12186,0,0,0,57,0.0,0.0,1.0
6,Keyboard,13,24158,700,"The doctor, on his monthly visit, advised the family to grow green apples in their garden","The doctor, on his monthly visit, advised the family to grow green apples in their garden
",89,43.71222783342992,14,10,Transcription,D2,25672,24972,3145,4,0,89,0.0,0.1414141414141414,0.7876106194690266
6,Keyboard,14,11220,756,Tell me went on a sail cruise and met a little kitty cat,"Tell me went on a sail cruise and met a little kitty cat
",56,58.823529411764696,0,0,Transcription,D1,12319,11563,0,0,0,56,0.0,0.0,1.0
6,Keyboard,15,18211,793,The woman decided to spend a substantial amount of cash to buy a swing set for her baby,"The woman decided to spend a substantial amount of cash to buy a swing set for her baby
",87,56.6690461808797,12,4,Transcription,D2,19522,18729,1618,3,0,87,0.0,0.13186813186813187,0.8446601941747572
6,Keyboard,16,14532,1032,The baby crawled out of the house and was greeted by morning sunshine,"The baby crawled out of the house and was greeted by morning sunshine
",69,56.15194054500413,8,5,Transcription,D2,15894,14862,1609,1,0,69,0.0,0.10810810810810811,0.8414634146341463
6,Keyboard,17,9981,744,The woman found money on the ground next to the swing set,"The woman found money on the ground next to the swing set
",57,67.32792305380222,0,0,Transcription,D1,11018,10274,0,0,0,57,0.0,0.0,1.0
6,Keyboard,18,9866,1041,The man sat on the bench and observed the sunflowers,"The man sat on the bench and observed the sunflowers
",52,62.03121832556255,11,2,Transcription,D2,14012,12971,849,1,0,52,0.0,0.2037037037037037,0.8
6,Keyboard,19,12592,887,The woman thinks that hot dogs taste better than brocolli,"The woman thinks that hot dogs taste better than broccoli
",57,53.36721728081321,3,1,Transcription,D1,13919,13032,677,5,2,55,0.034482758620689655,0.05172413793103448,0.9016393442622951
6,Keyboard,20,18376,847,"She loved cooking but more than that, she was fond of going outdoors to play football","She loved cooking but more than that, she was fond of going outdoors to play football
",85,54.854157596865484,10,3,Transcription,D2,19582,18736,2505,3,0,85,0.0,0.11363636363636363,0.8673469387755102
6,Speech,1,24079,4394,"Sally puts broccoli on her hot dog, she loves vegetables","Sally puts broccoli on her hotdog, she loves vegetables
",56,27.40977615349475,73,17,Transcription,C1,29657,25263,14502,0,1,54,0.013888888888888888,1.0138888888888888,0.3724137931034483
6,Speech,2,1752,3514,An apple a day keeps the doctor away from the house,"An apple a day keeps the doctor away from the house
",51,342.4657534246576,0,0,Transcription,C2,7435,3921,0,0,0,51,0.0,0.0,1.0
6,Speech,3,11708,3005,The teenagers went to Bruce's house to drink a cup of tea,"The teenagers went to Bruce's house to drink a cup of tea
",57,57.39665186197472,1,1,Transcription,C1,15240,12235,5879,0,0,57,0.0,0.017241379310344827,0.9661016949152542
6,Speech,4,7272,3289,The air hostess welcome the woman and her baby on the plane,"The air hostess welcomed the woman and her baby on the plane
",59,95.7095709570957,55,4,Transcription,C2,13617,10328,3926,0,1,59,0.015625,0.859375,0.4957983193277311
6,Speech,5,4973,2627,The woman spent a lot of money to buy her child a swing to play with,"The woman spent a lot of money to buy her child a swing to play with
",68,161.6730343856827,0,0,Transcription,C2,11945,9318,0,0,0,68,0.0,0.0,1.0
6,Speech,6,11121,4139,The teacher and her little daughters entered the airplane,"The teacher and her little daughters entered the airplane
",57,60.42622066360939,26,9,Transcription,C1,19001,14862,2179,0,0,57,0.0,0.3939393939393939,0.6195652173913043
6,Speech,7,9419,3161,The girl was confused when she saw a dog and a crying boy,"The girl was confused when she saw a dog and a crying boy
",57,71.34515341331351,61,4,Transcription,C1,15387,12226,2926,0,0,57,0.0,1.0,0.4672131147540984
6,Speech,8,3245,3686,The dog hypnotizes the girl into thinking the boy is sad,"The dog hypnotizes the girl into thinking the boy is sad
",56,203.3898305084746,0,0,Transcription,C1,11203,7518,0,0,0,56,0.0,0.0,1.0
6,Speech,9,7291,2817,The boy loved playing football,"The boy loved playing football
",30,47.73007817857632,5,5,Transcription,C2,11319,8502,942,0,0,30,0.0,0.14285714285714285,0.75
6,Speech,10,10950,2579,The boy loved eating and playing with his toy turtle,"The boy loved eating and playing with his toy turtle
",52,55.89041095890411,5,3,Transcription,C2,14049,11470,5496,0,0,52,0.0,0.09090909090909091,0.8666666666666667
6,Speech,11,3848,3169,The three friends had a great time having coffee inside the house,"The three friends had a great time having coffee inside the house
",65,199.5841995841996,71,2,Transcription,C2,10752,7583,798,0,0,65,0.0,1.0597014925373134,0.47101449275362317
6,Speech,12,13566,2935,A group of friends won a teddy bear in an amusement park,"A group of friends won a teddy bear in an amusement park
",56,48.65103936311366,12,9,Transcription,C1,18902,15967,3285,0,0,56,0.0,0.18461538461538463,0.7272727272727273
6,Speech,13,4768,3040,The child cried because a man told him Santa wasn't real,"The child cried because a man told him Santa wasn't real
",56,138.42281879194633,67,2,Transcription,C1,12458,9418,899,0,0,56,0.0,1.1551724137931034,0.448
6,Speech,14,8809,2174,The baby loves being in the house when the sun is shining,"The baby loves being in the house when the sun is shining
",57,76.28561698263141,11,7,Transcription,C1,12803,10629,1191,0,0,57,0.0,0.171875,0.76
6,Speech,15,4139,3852,The little girl took the cat with her when she boarded the ship,"The little girl took the cat with her when she boarded the ship
",63,179.75356366272047,61,1,Transcription,C2,10241,6389,947,0,0,63,0.0,0.953125,0.504
6,Speech,16,3316,3130,The siblings spent all their money on a giant teddy bear,"The siblings spent all their money on a giant teddy bear
",56,199.03498190591074,0,0,Transcription,C1,10161,7031,0,0,0,56,0.0,0.0,1.0
6,Speech,17,12010,2478,The teenagers gave a gift to their little brother Bobby,"The teenagers gave a gift to their little brother Bobby
",55,53.95503746877602,4,4,Transcription,C1,16448,13970,799,0,0,55,0.0,0.06779661016949153,0.873015873015873
6,Speech,18,3547,2663,The boy imagined the Santa riding on a bicycle,"The boy imagined the Santa riding on a bicycle
",46,152.2413307020017,35,1,Transcription,C2,12138,9475,1196,0,0,46,0.0,0.7446808510638298,0.5609756097560976
6,Speech,19,13881,2808,The girl loved cooking indoors and playing football outdoors,"The girl loved cooking indoors and playing football outdoors
",60,51.004970823427705,8,4,Transcription,C2,18875,16068,3488,0,0,60,0.0,0.125,0.8333333333333334
6,Speech,20,3772,3614,The baby was happy to go out of the house when it was sunny,"The baby was happy to go out of the house when it was sunny
",59,184.51749734888654,0,0,Transcription,C2,11331,7717,0,0,0,59,0.0,0.0,1.0
13,Speech,1,37793,797,Man rode his bicycle to work; his work is to dress up as a Santa Claus,"A man rode his bicycle to work; his work is to dress up as a Santa Claus
",70,21.908819093482922,35,35,Transcription,C2,38942,38145,6080,0,3,67,0.02857142857142857,0.3333333333333333,0.4785714285714286
