participantNo,inputType,trialNo,triad,msg,spagCorrect,correctMsg,gMsg
1,Keyboard,18,"flower.png,bench.png,man.png",The man sat on the bench to stop and smell the flowers.,The man sat on the bench to stop and smell the flowers.,The man sat on the bench to stop and smell the flowers.,The man sat on the bench to stop and smell the flowers.
1,Keyboard,19,"cooking.png,house.png,soccer.png",The girl practiced playing soccer at home. ,The girl practiced playing soccer at home. ,The girl practiced playing soccer at home. ,The girl practiced playing soccer at home. 
1,Keyboard,20,"crying.png,pup.png,confused.png",The boy was sad because his sister could not find his dog. ,The boy was sad because his sister could not find his dog. ,The boy was sad because his sister could not find his dog. ,The boy was sad because his sister could not find his dog. 
1,Speech,1,"brocoli.png,hotdog.png,woman.png",The girl put broccoli on her hot dog.,The girl put broccoli on her hot dog.,The girl put broccoli on her hot dog.,The girl put broccoli on her hot dog.
1,Speech,2,"crying.png,youngman.png,santa.png",The boy cried because his brother was dressed as Santa Claus.,The boy cried because his brother was dressed as Santa Claus.,The boy cried because his brother was dressed as Santa Claus.,The boy cried because his brother was dressed as Santa Claus.
1,Speech,3,"grandma.png,heart.png,teddybear.png",The woman's stuffed bear had a heart on its shirt.,The woman's stuffed bear had a heart on its shirt.,The woman's stuffed bear had a heart on its shirt.,The woman's stuffed bear had a heart on its shirt.
1,Speech,4,"flower.png,bench.png,man.png",The man stopped to pick flowers by the bench.,The man stopped to pick flowers by the bench.,The man stopped to pick flowers by the bench.,The man stopped to pick flowers by the bench.
1,Speech,5,"turtle.png,cooking-pan.png,youngman.png",The men's turtle crawled into the frying pan.,The men's turtle crawled into the frying pan.,The man's turtle crawled into the frying pan.,The man's turtle crawled into the frying pan.
1,Speech,6,"cooking.png,house.png,soccer.png",The girl left her soccer ball at home.,The girl left her soccer ball at home.,The girl left her soccer ball at home.,The girl left her soccer ball at home.
1,Speech,7,"boy.png,Friends.png,present.png",The boy bought presents for all of his friends.,The boy bought presents for all his friends.,The boy bought presents for all of his friends.,The boy bought presents for all his friends.
1,Speech,8,"boy.png,boat.png,cat.png",The boy carried his cat on to the sailboat.,The boy carried his cat on to the sailboat.,The boy carried his cat on to the sailboat.,The boy carried his cat on to the sailboat.
1,Speech,9,"crying.png,pup.png,confused.png",The girl was confused why her brother was sad about the dog.,The girl was confused why her brother was sad about the dog.,The girl was confused why her brother was sad about the dog.,The girl was confused why her brother was sad about the dog.
1,Speech,10,"bicycle.png,youngman.png,santa.png",The boy rode his bike to visit Santa Claus.,The boy rode his bike to visit Santa Claus.,The boy rode his bike to visit Santa Claus.,The boy rode his bike to visit Santa Claus.
1,Speech,11,"baby.png,iPhone4.png,man.png",The baby crawled away with the man's phone.,The baby crawled away with the man's phone.,The baby crawled away with the man's phone.,The baby crawled away with the man's phone.
1,Speech,12,"swings.png,crying.png,raincloud.png","It was raining, so the boy could not play on the swing.","It was raining, so the boy could not play on the swing.","It was raining, so the boy could not play on the swing.","It was raining, so the boy could not play on the swing."
1,Speech,13,"swings.png,money.png,momandbaby.png",The woman found money on the ground next to the swing set.,The woman found money on the ground next to the swing set.,The woman found money on the ground next to the swing set.,The woman found money on the ground next to the swing set.
1,Speech,14,"teddybear.png,money.png,Friends.png",The kids hid money inside of a stuffed bear.,The kids hid money inside of a stuffed bear.,The kids hid money inside of a stuffed bear.,The kids hid money inside of a stuffed bear.
1,Speech,15,"house.png,Friends.png,mug.png",The kids brought their cups from home.,The kids brought their cups from home.,The kids brought their cups from home.,The kids brought their cups from home.
1,Speech,16,"sun.png,house.png,baby.png",The baby's room was bright when the sun was up.,The baby's room was bright when the sun was up.,The baby's room was bright when the sun was up.,The baby's room was bright when the sun was up.
1,Speech,17,"doctor.png,plane.png,boy.png",The doctor said that the young boy could not fly.,The doctor said that the young boy could not fly.,The doctor said that the young boy could not fly.,The doctor said that the young boy could not fly.
1,Speech,18,"woman.png,momandbaby.png,plane.png",The girl flew home to meet her baby sister.,The girl flew home to meet her baby sister.,The girl flew home to meet her baby sister.,The girl flew home to meet her baby sister.
1,Speech,19,"soccer.png,youngman.png,heart.png",The boy had a healthy heart from playing soccer.,The boy had a healthy heart from playing soccer.,The boy had a healthy heart from playing soccer.,The boy had a healthy heart from playing soccer.
1,Speech,20,"apple.png,doctor.png,house.png",The doctor planted an apple tree outside of his house.,The doctor planted an apple tree outside of his house.,The doctor planted an apple tree outside of his house.,The doctor planted an apple tree outside of his house.
2,Speech,1,"crying.png,pup.png,confused.png",The girl isn't sure why the dog scared the boy. ,The girl isn't sure why the dog scared the boy. ,The girl isn't sure why the dog scared the boy. ,The girl isn't sure why the dog scared the boy. 
2,Speech,2,"soccer.png,youngman.png,heart.png",The boy who plays soccer on Valentine's day. ,The boy who plays soccer on Valentine's day. ,The boy plays soccer on Valentine's day. ,The boy who plays soccer on Valentine's day. 
2,Speech,3,"bicycle.png,youngman.png,santa.png",The Boy sees Santa riding a bicycle. ,The Boy sees Santa riding a bicycle. ,The boy sees Santa riding a bicycle. ,The boy sees Santa riding a bicycle. 
2,Speech,4,"swings.png,money.png,momandbaby.png",The parents buy a swing set. ,The parents buy a swing set. ,The parents buy a swing set. ,The parents buy a swing set. 
2,Speech,5,"boy.png,boat.png,cat.png",Boy takes his cat on the boat. ,Boy takes his cat on the boat. ,The boy takes his cat on the boat. ,The boy takes his cat on the boat. 
2,Speech,6,"crying.png,youngman.png,santa.png",The dad took his son to Santa but the sun was scared of Santa. ,"The dad took his son to Santa, but the sun was scared of Santa. ",The dad took his son to Santa but the son was scared of Santa. ,"The dad took his son to Santa, but his son was scared of Santa. "
2,Speech,7,"sun.png,house.png,baby.png",Baby was crawling in the garden on a nice day. ,Baby was crawling in the garden on a nice day. ,The baby was crawling in the garden on a nice day. ,The baby was crawling in the garden on a nice day. 
2,Speech,8,"boy.png,Friends.png,present.png",The kids pack the doll in the present box. ,The kids pack the doll in the present box. ,The kids pack the doll in the present box. ,The kids pack the doll in the present box. 
2,Speech,9,"turtle.png,cooking-pan.png,youngman.png",The guy has no choice but to fry his pet turtle for dinner. ,The guy has no choice but to fry his pet turtle for dinner. ,The guy has no choice but to fry his pet turtle for dinner. ,The guy has no choice but to fry his pet turtle for dinner. 
2,Speech,10,"teddybear.png,money.png,Friends.png",The kids buy the teddy bear,The kids buy the teddy bear,The kids buy the teddy bear.,The kids buy the teddy bear
2,Speech,11,"doctor.png,plane.png,boy.png",The doctor gives a toy airplane to his patient. ,The doctor gives a toy airplane to his patient. ,The doctor gives a toy airplane to his patient. ,The doctor gives a toy airplane to his patient. 
2,Speech,12,"house.png,Friends.png,mug.png",The kids find an old mug in the garden. ,The kids find an old mug in the garden. ,The kids find an old mug in the garden. ,The kids find an old mug in the garden. 
2,Speech,13,"brocoli.png,hotdog.png,woman.png",The woman that advertises the new broccoli dog. ,The woman that advertises the new broccoli dog. ,The woman advertises the new broccoli dog. ,The woman that advertises the new broccoli dog. 
2,Speech,14,"flower.png,bench.png,man.png",The guy sees some flowers left on the bench. ,The guy sees some flowers left on the bench. ,The guy sees some flowers left on the bench. ,The guy sees some flowers left on the bench. 
2,Speech,15,"cooking.png,house.png,soccer.png",A person makes a soccer ball shaped cake in the house,A person makes a soccer ball shaped cake in the house,A person makes a soccer ball shaped cake in the house,A person makes a soccer ball shaped cake in the house
2,Speech,16,"apple.png,doctor.png,house.png",The person makes a soccer ball shaped cake in the house. ,The person makes a soccer ball shaped cake in the house. ,The person makes a soccer ball shaped cake in the house. ,The person makes a soccer ball shaped cake in the house. 
2,Speech,17,"baby.png,iPhone4.png,man.png",The guy videos his baby with the cell phone. ,The guy videos his baby with the cell phone. ,The guy videos his baby with the cell phone. ,The guy videos his baby with the cell phone. 
2,Speech,18,"grandma.png,heart.png,teddybear.png",The lady loves her teddy bear. ,The lady loves her teddy bear. ,The lady loves her teddy bear. ,The lady loves her teddy bear. 
2,Speech,19,"woman.png,momandbaby.png,plane.png",The flight attendant welcomes the passengers on to the flight. ,The flight attendant welcomes the passengers on to the flight. ,The flight attendant welcomes the passengers on to the flight. ,The flight attendant welcomes the passengers onto the flight. 
2,Speech,20,"swings.png,crying.png,raincloud.png",The kid is sad because it's raining and he can't swing. ,"The kid is sad because it's raining, and he can't swing. ",The kid is sad because it's raining and he can't swing. ,"The kid is sad because it's raining, and he can't swing. "
2,Keyboard,1,"flower.png,bench.png,man.png",The guy accidentally squashes a flower when he sits on the bench.  ,The guy accidentally squashes a flower when he sits on the bench.  ,The guy accidentally squashes a flower when he sits on the bench.  ,The guy accidentally squashes a flower when he sits on the bench.  
2,Keyboard,2,"boy.png,boat.png,cat.png",The boy sees a cat swimming next to the boat. ,The boy sees a cat swimming next to the boat. ,The boy sees a cat swimming next to the boat. ,The boy sees a cat swimming next to the boat. 
2,Keyboard,3,"swings.png,crying.png,raincloud.png","The swing set drifted away in the flood from the have rain, making the boy sad. ","The swing set drifted away in the flood from the have rain, making the boy sad. ","The swing set drifted away in the flood from the heavy rain, making the boy sad. ","The swing set drifted away in the flood from the heavy rain, making the boy sad. "
2,Keyboard,4,"woman.png,momandbaby.png,plane.png",The flight attendant tells the children where to sit on the plane. ,The flight attendant tells the children where to sit on the plane. ,The flight attendant tells the children where to sit on the plane. ,The flight attendant tells the children where to sit on the plane. 
2,Keyboard,5,"soccer.png,youngman.png,heart.png",The guy kicks the soccer ball into a heart-shaped building. ,The guy kicks the soccer ball into a heart-shaped building. ,The guy kicks the soccer ball into a heart-shaped building. ,The guy kicks the soccer ball into a heart-shaped building. 
2,Keyboard,6,"crying.png,youngman.png,santa.png",The boy is sad because he sees santa doesn't really have a beard. ,The boy is sad because he sees Santa doesn't really have a beard. ,The boy is sad because he sees Santa doesn't really have a beard. ,The boy is sad because he sees Santa doesn't really have a beard. 
2,Keyboard,7,"swings.png,money.png,momandbaby.png",The children find cash hidden by the swing set. ,The children find cash hidden by the swing set. ,The children find cash hidden by the swing set. ,The children find cash hidden by the swing set. 
2,Keyboard,8,"baby.png,iPhone4.png,man.png",The guy makes sounds using his phone so the baby will laugh. ,The guy makes sounds using his phone so the baby will laugh. ,The guy makes sounds using his phone so the baby will laugh. ,The guy makes sounds using his phone so the baby will laugh. 
2,Keyboard,9,"doctor.png,plane.png,boy.png",The doctor stumbles upon his patient during the flight. ,The doctor stumbles upon his patient during the flight. ,The doctor stumbles upon his patient during the flight. ,The doctor stumbles upon his patient during the flight. 
2,Keyboard,10,"brocoli.png,hotdog.png,woman.png",The woman wants to buy broccoli with her hot dog. ,The woman wants to buy broccoli with her hot dog. ,The woman wants to buy broccoli with her hot dog. ,The woman wants to buy broccoli with her hot dog. 
2,Keyboard,11,"turtle.png,cooking-pan.png,youngman.png",The guy makes a turtle-shaped pancake. ,The guy makes a turtle-shaped pancake. ,The guy makes a turtle-shaped pancake. ,The guy makes a turtle-shaped pancake. 
2,Keyboard,12,"crying.png,pup.png,confused.png",The dog hypnotizes the girl into thinking the boy is sad. ,The dog hypnotizes the girl into thinking the boy is sad. ,The dog hypnotizes the girl into thinking the boy is sad. ,The dog hypnotizes the girl into thinking the boy is sad. 
2,Keyboard,13,"teddybear.png,money.png,Friends.png",People dress up as giant teddy bears to make cash. ,People dress up as giant teddy bears to make cash. ,People dress up as giant teddy bears to make cash. ,People dress up as giant teddy bears to make cash. 
2,Keyboard,14,"sun.png,house.png,baby.png",The baby stays in the house so that he's not sunburned. ,The baby stays in the house so that he's not sunburned. ,The baby stays in the house so that he's not sunburned. ,The baby stays in the house so that he's not sunburned. 
2,Keyboard,15,"apple.png,doctor.png,house.png",The doctor keeps a box of apples in his house. ,The doctor keeps a box of apples in his house. ,The doctor keeps a box of apples in his house. ,The doctor keeps a box of apples in his house. 
2,Keyboard,16,"grandma.png,heart.png,teddybear.png",The lady sews a heart on to the teddy bear. ,The lady sews a heart on to the teddy bear. ,The lady sews a heart on to the teddy bear. ,The lady sews a heart on to the teddy bear. 
2,Keyboard,17,"cooking.png,house.png,soccer.png",A soccer ball flies through the window of the house and lands in the dinner being cooked. ,A soccer ball flies through the window of the house and lands in the dinner being cooked. ,A soccer ball flies through the window of the house and lands in the dinner being cooked. ,A soccer ball flies through the window of the house and lands in the dinner being cooked. 
2,Keyboard,18,"bicycle.png,youngman.png,santa.png",The guy wants a bike from santa. ,The guy wants a bike from Santa. ,The guy wants a bike from Santa. ,The guy wants a bike from Santa. 
2,Keyboard,19,"boy.png,Friends.png,present.png",The people combine their savings to buy a gift for the kid. ,The people combine their savings to buy a gift for the kid. ,The people combine their savings to buy a gift for the kid. ,The people combine their savings to buy a gift for the kid. 
2,Keyboard,20,"house.png,Friends.png,mug.png",The homeowners make cups of coffee. ,The homeowners make cups of coffee. ,The homeowners make cups of coffee. ,The homeowners make cups of coffee. 
3,Keyboard,1,"cooking.png,house.png,soccer.png",Bella made soup for the whole soccer team so they came to her house after their game. ,"Bella made soup for the whole soccer team, so they came to her house after their game. ",Bella made soup for the whole soccer team so they came to her house after their game. ,"Bella made soup for the whole soccer team, so they came to her house after their game. "
3,Keyboard,2,"sun.png,house.png,baby.png",The baby was sunburnt because he left the house and played in the backyard. ,The baby was sunburnt because he left the house and played in the backyard. ,The baby was sunburnt because he left the house and played in the backyard. ,The baby was sunburnt because he left the house and played in the backyard. 
3,Keyboard,3,"crying.png,youngman.png,santa.png","John took his son David to see santa at the mall, but David cried the whole time. ","John took his son David to see Santa at the mall, but David cried the whole time. ","John took his son David to see Santa at the mall, but David cried the whole time. ","John took his son David to see Santa at the mall, but David cried the whole time. "
3,Keyboard,4,"woman.png,momandbaby.png,plane.png",The flight attendant gave the baby and mom extra pretzels for being quiet the entire flight.,The flight attendant gave the baby and mom extra pretzels for being quiet the entire flight.,The flight attendant gave the baby and mom extra pretzels for being quiet the entire flight.,The flight attendant gave the baby and mom extra pretzels for being quiet the entire flight.
3,Keyboard,5,"teddybear.png,money.png,Friends.png",The group of teenagers used all of their allowance to buy a teddy bear for their friend. ,The group of teenagers used all of their allowance to buy a teddy bear for their friend. ,The group of teenagers used all of their allowance to buy a teddy bear for their friend. ,The group of teenagers used all of their allowance to buy a teddy bear for their friend. 
3,Keyboard,6,"boy.png,boat.png,cat.png",The cat snuck into the sailboat right before it sailed away and doesn't have a cat anymore.,The cat snuck into the sailboat right before it sailed away and doesn't have a cat anymore.,The cat snuck into the sailboat right before it sailed away and doesn't have a cat anymore.,The cat snuck into the sailboat right before it sailed away and the boy doesn't have a cat anymore.
3,Keyboard,7,"turtle.png,cooking-pan.png,youngman.png","David cooked turtle for dinner, he loves the shell the bestn","David cooked turtle for dinner, he loves the shell the best","David cooked turtle for dinner, he loves the shell the best.",David cooked turtle for dinner. He loves the shell the best
3,Keyboard,8,"baby.png,iPhone4.png,man.png",The businessman gives his baby his phone so he doesn't have to watch it.,The businessman gives his baby his phone so he doesn't have to watch it.,The businessman gives his baby his phone so he doesn't have to watch it.,The businessman gives his baby his phone so he doesn't have to watch it.
3,Keyboard,9,"house.png,Friends.png,mug.png",The teenagers went to Bruce's house to drink a cup of tea.,The teenagers went to Bruce's house to drink a cup of tea.,The teenagers went to Bruce's house to drink a cup of tea.,The teenagers went to Bruce's house to drink a cup of tea.
3,Keyboard,10,"brocoli.png,hotdog.png,woman.png","Sally puts broccoli on her hotdog, she loves vegetables. ","Sally puts broccoli on her hotdog, she loves vegetables. ","Sally puts broccoli on her hotdog, she loves vegetables. ",Sally puts broccoli on her hotdog. She loves vegetables. 
3,Keyboard,11,"swings.png,crying.png,raincloud.png","Sammy had to leave the playground because it started raining, he cried the whole way home. ","Sammy had to leave the playground because it started raining, he cried the whole way home. ","Sammy had to leave the playground because it started raining, he cried the whole way home. ",Sammy had to leave the playground because it started raining. He cried the whole way home. 
3,Keyboard,12,"grandma.png,heart.png,teddybear.png",The grandma loves her teddy bear ,The grandma loves her teddy bear ,The grandma loves her teddy bear ,The grandma loves her teddy bear 
3,Keyboard,13,"doctor.png,plane.png,boy.png",The doctor says Tommy cannot fly because he has an ear infection.,The doctor says Tommy cannot fly because he has an ear infection.,The doctor says Tommy cannot fly because he has an ear infection.,The doctor says Tommy cannot fly because he has an ear infection.
3,Keyboard,14,"bicycle.png,youngman.png,santa.png",Bruce went for a bicycle ride to see santa,Bruce went for a bicycle ride to see Santa,Bruce went for a bicycle ride to see Santa,Bruce went for a bicycle ride to see Santa
3,Keyboard,15,"flower.png,bench.png,man.png",The businessman love sitting on a bench to look at the flowers in the park. ,The businessman love sitting on a bench to look at the flowers in the park. ,The businessman loves sitting on a bench to look at the flowers in the park. ,The businessman loves sitting on a bench to look at the flowers in the park. 
3,Keyboard,16,"boy.png,Friends.png,present.png",The teenagers gave a gift to their little brother Bobby. ,The teenagers gave a gift to their little brother Bobby. ,The teenagers gave a gift to their little brother Bobby. ,The teenagers gave a gift to their little brother Bobby. 
3,Keyboard,17,"apple.png,doctor.png,house.png",The doctor suggested that the apples outside the house made the kids sick. ,The doctor suggested that the apples outside the house made the kids sick. ,The doctor suggested that the apples outside the house made the kids sick. ,The doctor suggested that the apples outside the house made the kids sick. 
3,Keyboard,18,"crying.png,pup.png,confused.png","Bobby cried because he doesn't like dogs, everybody including the dog was confused because everybody likes dogs. ","Bobby cried because he doesn't like dogs, everybody including the dog was confused because everybody likes dogs. ","Bobby cried because he doesn't like dogs, everybody including the dog was confused because everybody likes dogs. ",Bobby cried because he doesn't like dogs. Everybody including the dog was confused because everybody likes dogs. 
3,Keyboard,19,"soccer.png,youngman.png,heart.png",Bruce loves playing soccer. ,Bruce loves playing soccer. ,Bruce loves playing soccer. ,Bruce loves playing soccer. 
3,Keyboard,20,"swings.png,money.png,momandbaby.png",Tammy donated money to build a new playground her newborn son could play on. ,Tammy donated money to build a new playground her newborn son could play on. ,Tammy donated money to build a new playground her newborn son could play on. ,Tammy donated money to build a new playground her newborn son could play on. 
3,Speech,1,"apple.png,doctor.png,house.png",The doctor put a bowl of apples in the house.,The doctor put a bowl of apples in the house.,The doctor put a bowl of apples in the house.,The doctor put a bowl of apples in the house.
3,Speech,2,"sun.png,house.png,baby.png",The baby was smiling because he was in the backyard of a house and the sun was shining.,The baby was smiling because he was in the backyard of a house and the sun was shining.,The baby was smiling because he was in the backyard of a house and the sun was shining.,The baby was smiling because he was in the backyard of a house and the sun was shining.
3,Speech,3,"swings.png,money.png,momandbaby.png",Sally lost a bunch of cash at the playground after she was helping her baby play and ride on the swings.,Sally lost a bunch of cash at the playground after she was helping her baby play and ride on the swings.,Sally lost a bunch of cash at the playground after she was helping her baby play and ride on the swings.,Sally lost a bunch of cash at the playground after she was helping her baby play and ride on the swings.
3,Speech,4,"woman.png,momandbaby.png,plane.png",The flight attendant helps Sally and her baby onto the plane and made sure they were comfortable.,The flight attendant helps Sally and her baby onto the plane and made sure they were comfortable.,The flight attendant helped Sally and her baby onto the plane and made sure they were comfortable.,The flight attendant helped Sally and her baby onto the plane and made sure they were comfortable.
3,Speech,5,"baby.png,iPhone4.png,man.png",Bruce giggles when he sees an iPhone but the businessman takes it away.,"Bruce giggles when he sees an iPhone, but the businessman takes it away.",Bruce giggles when he sees an iPhone but the businessman takes it away.,"Bruce giggles when he sees an iPhone, but the businessman takes it away."
3,Speech,6,"bicycle.png,youngman.png,santa.png",Santa gave Sally a brand new bike for Christmas,Santa gave Sally a brand new bike for Christmas,Santa gave Sally a brand new bike for Christmas,Santa gave Sally a brand new bike for Christmas
3,Speech,7,"turtle.png,cooking-pan.png,youngman.png",The turtle wore a pan for a helmet so that he has a shell over both his body and his head,The turtle wore a pan for a helmet so that he has a shell over both his body and his head,The turtle wore a pan for a helmet so that he has a shell over both his body and his head,The turtle wore a pan for a helmet so that he has a shell over both his body and his head
3,Speech,8,"doctor.png,plane.png,boy.png",The doctor gave Bruce his vaccines so he could go on a flight to Mexico,The doctor gave Bruce his vaccines so he could go on a flight to Mexico,The doctor gave Bruce his vaccines so he could go on a flight to Mexico,The doctor gave Bruce his vaccines so he could go on a flight to Mexico
3,Speech,9,"teddybear.png,money.png,Friends.png",A teddy bear cost too much money for the teenagers to buy.,A teddy bear cost too much money for the teenagers to buy.,A teddy bear cost too much money for the teenagers to buy.,A teddy bear cost too much money for the teenagers to buy.
3,Speech,10,"cooking.png,house.png,soccer.png",Sally doesn't like soccer so she stays at home and makes soup instead.,"Sally doesn't like soccer, so she stays at home and makes soup instead.",Sally doesn't like soccer so she stays at home and makes soup instead.,"Sally doesn't like soccer, so she stays at home and makes soup instead."
3,Speech,11,"swings.png,crying.png,raincloud.png",It was raining all day so Tommy couldn't go to the playground and play on the swings.,It was raining all day so Tommy couldn't go to the playground and play on the swings.,It was raining all day so Tommy couldn't go to the playground and play on the swings.,It was raining all day so Tommy couldn't go to the playground and play on the swings.
3,Speech,12,"boy.png,Friends.png,present.png",The teenagers love babies they want one for a present.,The teenagers love babies they want one for a present.,The teenagers love babies; they want one for a present.,The teenagers love babies. They want one for a present.
3,Speech,13,"flower.png,bench.png,man.png",Bruce bought flowers for his date and wait in the park on the bench but nobody came.,"Bruce bought flowers for his date and wait in the park on the bench, but nobody came.",Bruce bought flowers for his date and waited in the park on the bench but nobody came.,"Bruce bought flowers for his date and waiting in the park on the bench, but nobody came."
3,Speech,14,"crying.png,youngman.png,santa.png",Sally wouldn't take Tommy to the mall to see Santa.,Sally wouldn't take Tommy to the mall to see Santa.,Sally wouldn't take Tommy to the mall to see Santa.,Sally wouldn't take Tommy to the mall to see Santa.
3,Speech,15,"crying.png,pup.png,confused.png",The dog ran away from Bobby for some reason that Sally couldn't figure out so Bobby cried,"The dog ran away from Bobby for some reason that Sally couldn't figure out, so Bobby cried","The dog ran away from Bobby for some reason that Sally couldn't figure out, so Bobby cried","The dog ran away from Bobby for some reason that Sally couldn't figure out, so Bobby cried"
3,Speech,16,"brocoli.png,hotdog.png,woman.png",Nutritionists recommend to have broccoli with every meal except hot dogs.,Nutritionists recommend having broccoli with every meal except hot dogs.,Nutritionists recommend having broccoli with every meal except hot dogs.,Nutritionists recommend having broccoli with every meal except hot dogs.
3,Speech,17,"house.png,Friends.png,mug.png",The tea was too hot so the teenagers play hide and seek in the house,"The tea was too hot, so the teenagers play hide and seek in the house",The tea was too hot so the teenagers played hide and seek in the house,"The tea was too hot, so the teenagers played hide and seek in the house"
3,Speech,18,"grandma.png,heart.png,teddybear.png",Grandma's grandchildren bought her a teddy bear that she loves,Grandma's grandchildren bought her a teddy bear that she loves,Grandma's grandchildren bought her a teddy bear that she loves,Grandma's grandchildren bought her a teddy bear that she loves
3,Speech,19,"boy.png,boat.png,cat.png",Tell me when on a sail Cruise and met a little kitty cat,Tell me when on a sail Cruise and met a little kitty cat,Tell me went on a sail cruise and met a little kitty cat,Tommy went on a sailboat cruise and met a little kitty cat
3,Speech,20,"soccer.png,youngman.png,heart.png","Sally's favorite sport is soccer, she loves it.","Sally's favorite sport is soccer, she loves it.","Sally's favorite sport is soccer, she loves it.",Sally's favorite sport is soccer. She loves it.
4,Speech,1,"cooking.png,house.png,soccer.png",The girl is cooking in her house and she will go play soccer afterwards,The girl is cooking in her house and she will go play soccer afterwards,The girl is cooking in her house and she will go play soccer afterwards,The girl is cooking in her house and she will go play soccer afterwards
4,Speech,2,"apple.png,doctor.png,house.png",The doctor thinks that having apples in your house is beneficial for your health,The doctor thinks that having apples in your house is beneficial for your health,The doctor thinks that having apples in your house is beneficial for your health,The doctor thinks that having apples in your house is beneficial for your health
4,Speech,3,"crying.png,pup.png,confused.png",The boy got bitten by a dog and is crying. The girl didn't see it and is wondering why the boy is crying,The boy got bitten by a dog and is crying. The girl didn't see it and is wondering why the boy is crying,The boy got bitten by a dog and is crying. The girl didn't see it and is wondering why the boy is crying,The boy got bitten by a dog and is crying. The girl didn't see it and is wondering why the boy is crying
4,Speech,4,"turtle.png,cooking-pan.png,youngman.png",The person is preparing to make a turtle soup,The person is preparing to make a turtle soup,The person is preparing to make a turtle soup,The person is preparing to make a turtle soup
4,Speech,5,"brocoli.png,hotdog.png,woman.png",The lady says that eating broccoli is better for your health than eating hot dogs,The lady says that eating broccoli is better for your health than eating hot dogs,The lady says that eating broccoli is better for your health than eating hot dogs,The lady says that eating broccoli is better for your health than eating hot dogs
4,Speech,6,"grandma.png,heart.png,teddybear.png",The old lady is reminiscing about her old childhood toy,The old lady is reminiscing about her old childhood toy,The old lady is reminiscing about her old childhood toy,The old lady is reminiscing about her old childhood toy
