participantNo,inputType,trialNo,inputTime,prepTime,msg,correctMsg,msgLen,wpm,incorrect_fixed,fixes,triad,taskType,setNum,totalTime,entryTime,corrTime,acCount,gMsg,uncorrected_error_rate,corrected_error_rate,bandwidth
2,Speech,11,5322,12711,The doctor gives a toy airplane to his patient. ,The doctor gives a toy airplane to his patient. ,48,105.9751973,1,1,"doctor.png,plane.png,boy.png",Composition,B,30670,17959,134,0,The doctor gives a toy airplane to his patient. ,0,0.020833333,0.959183673
2,Speech,12,13107,22738,The kids find an old mug in the garden. ,The kids find an old mug in the garden. ,40,35.70611124,8,8,"house.png,Friends.png,mug.png",Composition,B,58577,35839,9599,0,The kids find an old mug in the garden. ,0,0.170212766,0.709090909
2,Speech,13,3766,17582,The woman that advertises the new broccoli dog. ,The woman advertises the new broccoli dog. ,48,149.7610196,1,1,"brocoli.png,hotdog.png,woman.png",Composition,B,43361,25779,128,0,The woman that advertises the new broccoli dog. ,0.052083333,0.020833333,0.908163265
2,Speech,14,9744,13838,The guy sees some flowers left on the bench. ,The guy sees some flowers left on the bench. ,45,54.18719212,15,9,"flower.png,bench.png,man.png",Composition,B,38424,24586,5192,0,The guy sees some flowers left on the bench. ,0,0.283018868,0.647058824
2,Speech,15,3033,20835,A person makes a soccer ball shaped cake in the house,A person makes a soccer ball shaped cake in the house,53,205.7368942,0,0,"cooking.png,house.png,soccer.png",Composition,B,46120,25285,0,0,A person makes a soccer ball shaped cake in the house,0,0,1
2,Speech,16,8353,12963,The person makes a soccer ball shaped cake in the house. ,The person makes a soccer ball shaped cake in the house. ,57,80.45013768,1,1,"apple.png,doctor.png,house.png",Composition,B,34195,21232,136,0,The person makes a soccer ball shaped cake in the house. ,0,0.01754386,0.965517241
2,Speech,17,4025,12247,The guy videos his baby with the cell phone. ,The guy videos his baby with the cell phone. ,45,131.1801242,44,2,"baby.png,iPhone4.png,man.png",Composition,B,28639,16392,719,0,The guy videos his baby with the cell phone. ,0,0.956521739,0.488888889
2,Speech,18,2213,11707,The lady loves her teddy bear. ,The lady loves her teddy bear. ,31,162.6751017,1,1,"grandma.png,heart.png,teddybear.png",Composition,B,25697,13990,135,0,The lady loves her teddy bear. ,0,0.032258065,0.9375
2,Speech,19,12078,7923,The flight attendant welcomes the passengers on to the flight. ,The flight attendant welcomes the passengers on to the flight. ,63,61.59960258,34,34,"woman.png,momandbaby.png,plane.png",Composition,B,29001,21078,4430,0,The flight attendant welcomes the passengers onto the flight. ,0.005263158,0.356030702,0.471019678
2,Speech,20,3748,11847,The kid is sad because it's raining and he can't swing. ,The kid is sad because it's raining and he can't swing. ,56,176.0939168,1,1,"swings.png,crying.png,raincloud.png",Composition,B,27371,15524,132,0,"The kid is sad because it's raining, and he can't swing. ",0.00877193,0.017700501,0.956594071
2,Keyboard,2,14100,4196,The boy sees a cat swimming next to the boat. ,The boy sees a cat swimming next to the boat. ,46,38.29787234,1,1,"boy.png,boat.png,cat.png",Composition,A,22496,18300,128,1,The boy sees a cat swimming next to the boat. ,0,0.02173913,0.957446809
2,Keyboard,3,49330,27628,"The swing set drifted away in the flood from the have rain, making the boy sad. ","The swing set drifted away in the flood from the heavy rain, making the boy sad. ",80,19.2175147,27,27,"swings.png,crying.png,raincloud.png",Composition,A,106649,79021,11621,2,"The swing set drifted away in the flood from the heavy rain, making the boy sad. ",0.018691589,0.252336449,0.582089552
2,Keyboard,4,13507,13739,The flight attendant tells the children where to sit on the plane. ,The flight attendant tells the children where to sit on the plane. ,67,58.63626268,1,1,"woman.png,momandbaby.png,plane.png",Composition,A,40898,27159,118,1,The flight attendant tells the children where to sit on the plane. ,0,0.014925373,0.970588235
2,Keyboard,5,21616,12930,The guy kicks the soccer ball into a heart-shaped building. ,The guy kicks the soccer ball into a heart-shaped building. ,60,32.75351591,2,2,"soccer.png,youngman.png,heart.png",Composition,A,46355,33425,845,1,The guy kicks the soccer ball into a heart-shaped building. ,0,0.032786885,0.936507937
2,Keyboard,6,17800,9477,The boy is sad because he sees santa doesn't really have a beard. ,The boy is sad because he sees Santa doesn't really have a beard. ,66,43.82022472,2,2,"crying.png,youngman.png,santa.png",Composition,A,38248,28771,669,2,The boy is sad because he sees Santa doesn't really have a beard. ,0.014925373,0.029850746,0.927536232
2,Keyboard,7,12862,3412,The children find cash hidden by the swing set. ,The children find cash hidden by the swing set. ,48,43.85010107,5,5,"swings.png,money.png,momandbaby.png",Composition,A,20325,16913,1048,2,The children find cash hidden by the swing set. ,0,0.096153846,0.824561404
2,Keyboard,8,12738,20764,The guy makes sounds using his phone so the baby will laugh. ,The guy makes sounds using his phone so the baby will laugh. ,61,56.52378709,1,1,"baby.png,iPhone4.png,man.png",Composition,A,54797,34033,93,1,The guy makes sounds using his phone so the baby will laugh. ,0,0.016393443,0.967741935
2,Keyboard,9,10370,6074,The doctor stumbles upon his patient during the flight. ,The doctor stumbles upon his patient during the flight. ,56,63.64513018,1,1,"doctor.png,plane.png,boy.png",Composition,A,23888,17814,124,1,The doctor stumbles upon his patient during the flight. ,0,0.017857143,0.964912281
2,Keyboard,10,29398,5784,The woman wants to buy broccoli with her hot dog. ,The woman wants to buy broccoli with her hot dog. ,50,20.00136064,15,8,"brocoli.png,hotdog.png,woman.png",Composition,A,41387,35603,3793,2,The woman wants to buy broccoli with her hot dog. ,0,0.263157895,0.680555556
2,Keyboard,11,10208,7364,The guy makes a turtle-shaped pancake. ,The guy makes a turtle-shaped pancake. ,39,44.67084639,1,1,"turtle.png,cooking-pan.png,youngman.png",Composition,A,25214,17850,238,1,The guy makes a turtle-shaped pancake. ,0,0.025641026,0.95
2,Keyboard,12,23269,13384,The dog hypnotizes the girl into thinking the boy is sad. ,The dog hypnotizes the girl into thinking the boy is sad. ,58,29.39533285,10,10,"crying.png,pup.png,confused.png",Composition,A,51044,37660,5194,2,The dog hypnotizes the girl into thinking the boy is sad. ,0,0.149253731,0.74025974
2,Keyboard,13,13937,12169,People dress up as giant teddy bears to make cash. ,People dress up as giant teddy bears to make cash. ,51,43.05087178,3,3,"teddybear.png,money.png,Friends.png",Composition,A,39809,27640,757,1,People dress up as giant teddy bears to make cash. ,0,0.056603774,0.892857143
2,Keyboard,14,15314,7162,The baby stays in the house so that he's not sunburned. ,The baby stays in the house so that he's not sunburned. ,56,43.09781899,7,2,"sun.png,house.png,baby.png",Composition,A,30368,23206,946,3,The baby stays in the house so that he's not sunburned. ,0,0.122807018,0.859375
2,Keyboard,15,26514,4204,The doctor keeps a box of apples in his house. ,The doctor keeps a box of apples in his house. ,47,20.81918986,11,11,"apple.png,doctor.png,house.png",Composition,A,36900,32696,5523,1,The doctor keeps a box of apples in his house. ,0,0.192982456,0.676470588
2,Keyboard,16,14544,3295,The lady sews a heart on to the teddy bear. ,The lady sews a heart on to the teddy bear. ,44,35.47854785,5,5,"grandma.png,heart.png,teddybear.png",Composition,A,21485,18190,2613,2,The lady sews a heart on to the teddy bear. ,0,0.104166667,0.811320755
2,Keyboard,17,17438,5107,A soccer ball flies through the window of the house and lands in the dinner being cooked. ,A soccer ball flies through the window of the house and lands in the dinner being cooked. ,90,61.24555568,1,1,"cooking.png,house.png,soccer.png",Composition,A,30300,25193,118,1,A soccer ball flies through the window of the house and lands in the dinner being cooked. ,0,0.011111111,0.978021978
2,Keyboard,18,6078,3365,The guy wants a bike from santa. ,The guy wants a bike from santa. ,33,63.1786772,1,1,"bicycle.png,youngman.png,santa.png",Composition,A,13372,10007,99,1,The guy wants a bike from Santa. ,0.015151515,0.03030303,0.926470588
2,Keyboard,19,23589,22837,The people combine their savings to buy a gift for the kid. ,The people combine their savings to buy a gift for the kid. ,60,30.01398957,11,2,"boy.png,Friends.png,present.png",Composition,A,69480,46643,1229,2,The people combine their savings to buy a gift for the kid. ,0,0.180327869,0.819444444
2,Keyboard,20,11602,6901,The homeowners make cups of coffee. ,The homeowners make cups of coffee. ,36,36.20065506,1,1,"house.png,Friends.png,mug.png",Composition,A,26059,19158,108,1,The homeowners make cups of coffee. ,0,0.027777778,0.945945946
3,Keyboard,2,12993,2326,The baby was sunburnt because he left the house and played in the backyard. ,The baby was sunburnt because he left the house and played in the backyard. ,76,69.26806742,1,1,"sun.png,house.png,baby.png",Composition,B,17429,15103,335,0,The baby was sunburnt because he left the house and played in the backyard. ,0,0.013157895,0.974025974
3,Keyboard,3,13840,3243,"John took his son David to see santa at the mall, but David cried the whole time. ","John took his son David to see santa at the mall, but David cried the whole time. ",82,70.23121387,2,2,"crying.png,youngman.png,santa.png",Composition,B,18392,15149,549,1,"John took his son David to see Santa at the mall, but David cried the whole time. ",0.006024096,0.024096386,0.947058824
3,Keyboard,4,34544,3150,The flight attendant gave the baby and mom extra pretzels for being quiet the entire flight.,The flight attendant gave the baby and mom extra pretzels for being quiet the entire flight.,92,31.61185734,38,15,"woman.png,momandbaby.png,plane.png",Composition,B,39721,36571,9380,4,The flight attendant gave the baby and mom extra pretzels for being quiet the entire flight.,0,0.355140187,0.634482759
3,Keyboard,5,29637,4709,The group of teenagers used all of their allowance to buy a teddy bear for their friend. ,The group of teenagers used all of their allowance to buy a teddy bear for their friend. ,89,35.63113675,49,36,"teddybear.png,money.png,Friends.png",Composition,B,38466,33757,7651,3,The group of teenagers used all of their allowance to buy a teddy bear for their friend. ,0,0.39516129,0.50867052
3,Keyboard,6,43546,5014,The cat snuck into the sailboat right before it sailed away and doesn't have a cat anymore.,The cat snuck into the sailboat right before it sailed away and doesn't have a cat anymore.,91,24.80135948,56,37,"boy.png,boat.png,cat.png",Composition,B,56641,51627,19246,5,The cat snuck into the sailboat right before it sailed away and the boy doesn't have a cat anymore.,0.029411765,0.424632353,0.484261775
3,Keyboard,7,19739,1293,"David cooked turtle for dinner, he loves the shell the bestn","David cooked turtle for dinner, he loves the shell the best.",60,35.86807842,15,15,"turtle.png,cooking-pan.png,youngman.png",Composition,B,21987,20694,2218,0,David cooked turtle for dinner. He loves the shell the best,0.026936937,0.201351351,0.642384519
3,Keyboard,8,25859,3719,The businessman gives his baby his phone so he doesn't have to watch it.,The businessman gives his baby his phone so he doesn't have to watch it.,72,32.94790982,36,23,"baby.png,iPhone4.png,man.png",Composition,B,33155,29436,7367,3,The businessman gives his baby his phone so he doesn't have to watch it.,0,0.378947368,0.549618321
3,Keyboard,9,12665,1990,The teenagers went to Bruce's house to drink a cup of tea.,The teenagers went to Bruce's house to drink a cup of tea.,58,54.0071062,15,7,"house.png,Friends.png,mug.png",Composition,B,16530,14540,1737,1,The teenagers went to Bruce's house to drink a cup of tea.,0,0.230769231,0.725
3,Keyboard,10,15528,1790,"Sally puts broccoli on her hotdog, she loves vegetables. ","Sally puts broccoli on her hotdog, she loves vegetables. ",57,43.27666151,20,9,"brocoli.png,hotdog.png,woman.png",Composition,B,19131,17341,3658,2,Sally puts broccoli on her hotdog. She loves vegetables. ,0.015384615,0.307692308,0.647058824
3,Keyboard,11,15796,2239,"Sammy had to leave the playground because it started raining, he cried the whole way home. ","Sammy had to leave the playground because it started raining, he cried the whole way home. ",91,68.37173968,4,4,"swings.png,crying.png,raincloud.png",Composition,B,20370,18131,996,1,Sammy had to leave the playground because it started raining. He cried the whole way home. ,0.010638298,0.042553191,0.908163265
3,Keyboard,12,6522,5876,The grandma loves her teddy bear ,The grandma loves her teddy bear ,33,58.87764489,34,4,"grandma.png,heart.png,teddybear.png",Composition,B,18302,12426,1448,4,The grandma loves her teddy bear ,0,0.944444444,0.457142857
3,Keyboard,13,19649,2931,The doctor says Tommy cannot fly because he has an ear infection.,The doctor says Tommy cannot fly because he has an ear infection.,65,39.08595857,26,12,"doctor.png,plane.png,boy.png",Composition,B,25558,22627,6970,2,The doctor says Tommy cannot fly because he has an ear infection.,0,0.337662338,0.631067961
3,Keyboard,14,17862,2068,Bruce went for a bicycle ride to see santa,Bruce went for a bicycle ride to see santa,42,27.54450789,27,17,"bicycle.png,youngman.png,santa.png",Composition,B,21656,19588,6870,2,Bruce went for a bicycle ride to see Santa,0.008474576,0.457627119,0.48255814
3,Keyboard,15,13074,2745,The businessman love sitting on a bench to look at the flowers in the park. ,The businessman loves sitting on a bench to look at the flowers in the park. ,76,68.83891693,9,2,"flower.png,bench.png,man.png",Composition,B,17232,14487,639,2,The businessman loves sitting on a bench to look at the flowers in the park. ,0.012820513,0.115384615,0.862068966
3,Keyboard,16,13132,2001,The teenagers gave a gift to their little brother Bobby. ,The teenagers gave a gift to their little brother Bobby. ,57,51.17270789,2,2,"boy.png,Friends.png,present.png",Composition,B,17019,15018,1142,1,The teenagers gave a gift to their little brother Bobby. ,0,0.034482759,0.933333333
3,Keyboard,17,14917,1292,The doctor suggested that the apples outside the house made the kids sick. ,The doctor suggested that the apples outside the house made the kids sick. ,75,59.52939599,1,1,"apple.png,doctor.png,house.png",Composition,B,17369,16077,166,2,The doctor suggested that the apples outside the house made the kids sick. ,0,0.013333333,0.973684211
3,Keyboard,18,21066,5522,"Bobby cried because he doesn't like dogs, everybody including the dog was confused because everybody likes dogs. ","Bobby cried because he doesn't like dogs, everybody including the dog was confused because everybody likes dogs. ",113,63.79948733,9,9,"crying.png,pup.png,confused.png",Composition,B,31728,26206,1198,2,Bobby cried because he doesn't like dogs. Everybody including the dog was confused because everybody likes dogs. ,0.008264463,0.074380165,0.853846154
3,Keyboard,19,12001,2114,Bruce loves playing soccer. ,Bruce loves playing soccer. ,28,26.99775019,17,17,"soccer.png,youngman.png,heart.png",Composition,B,15728,13614,3919,1,Bruce loves playing soccer. ,0,0.386363636,0.442622951
3,Keyboard,20,39113,4469,Tammy donated money to build a new playground her newborn son could play on. ,Tammy donated money to build a new playground her newborn son could play on. ,77,23.31705571,60,45,"swings.png,money.png,momandbaby.png",Composition,B,48181,43712,8915,1,Tammy donated money to build a new playground her newborn son could play on. ,0,0.495867769,0.419889503
3,Speech,2,7821,3458,The baby was smiling because he was in the backyard of a house and the sun was shining.,The baby was smiling because he was in the backyard of a house and the sun was shining.,87,131.9524357,2,2,"sun.png,house.png,baby.png",Composition,A,14743,11285,1583,0,The baby was smiling because he was in the backyard of a house and the sun was shining.,0,0.02247191,0.956043956
3,Speech,3,8427,11005,Sally lost a bunch of cash at the playground after she was helping her baby play and ride on the swings.,Sally lost a bunch of cash at the playground after she was helping her baby play and ride on the swings.,104,146.6714133,0,0,"swings.png,money.png,momandbaby.png",Composition,A,30184,19179,0,0,Sally lost a bunch of cash at the playground after she was helping her baby play and ride on the swings.,0,0,1
3,Speech,4,9683,6619,The flight attendant helps Sally and her baby onto the plane and made sure they were comfortable.,The flight attendant helped Sally and her baby onto the plane and made sure they were comfortable.,97,118.9713932,86,3,"woman.png,momandbaby.png,plane.png",Composition,A,23388,16769,4312,0,The flight attendant helped Sally and her baby onto the plane and made sure they were comfortable.,0.02,0.86,0.510752688
3,Speech,5,4499,11073,Bruce giggles when he sees an iPhone but the businessman takes it away.,Bruce giggles when he sees an iPhone but the businessman takes it away.,71,186.7081574,71,1,"baby.png,iPhone4.png,man.png",Composition,A,26522,15449,723,0,"Bruce giggles when he sees an iPhone, but the businessman takes it away.",0.006849315,0.979356925,0.494779526
3,Speech,6,6601,7725,Santa gave Sally a brand new bike for Christmas,Santa gave Sally a brand new bike for Christmas,47,83.62369338,9,9,"bicycle.png,youngman.png,santa.png",Composition,A,22094,14369,2788,0,Santa gave Sally a brand new bike for Christmas,0,0.160714286,0.723076923
3,Speech,7,47822,10037,The turtle wore a pan for a helmet so that he has a shell over both his body and his head,The turtle wore a pan for a helmet so that he has a shell over both his body and his head,89,22.081887,155,56,"turtle.png,cooking-pan.png,youngman.png",Composition,A,68309,58272,27165,0,The turtle wore a pan for a helmet so that he has a shell over both his body and his head,0,1.068965517,0.296666667
